Subject,Content
기획/감사/교육/정보화/마을공동체,"서울시 청년수당 지원 대상이 되어서 지원을 하려고 합니다.근데 내일배움카드 훈련장려금 대상자는 대상제외로 되어있더군요.재직자때 발급 받은 내일배움 카드가 있고2017년도에 수업을 받았었고 장려금도 남아있으며,유효기간이 내년 12월까지로 되어있습니다.2월 28일부터 퇴사한 후 내일배움카드로 수업을 들으려고 신청해 놓은것이 있는데,그럼 참여 수당 지원 대상에서 제외 되나요?아님 애초에 저는 이미 재직자 내일배움 카드가 있으니서울시 청년수당 참여 대상이 아닌건가요?애초에 참여 대상자가 아니면, 저는 내일배움카드로 수업을 받으려고 합니다."
환경/공원/상수도,청계천을 제발 깨끗하게 좀 해주세요.관광객도 많이 찾는 청계천을 걷는데 이건 관광지라고 할 수 없을 정도로 추한 모습을 보았습니다.바닥에 쓰레기가 많아서 추한게 아니라요.물이 한차례 범람하고 난뒤 온통 나무가 제멋대로 자라고 수초가 나무에 붙어 말라 있는 모습을 좀 깔끔하게 정리해줄 수는 없습니까?너무 보기에 창피하고 추합니다.사진은 세운상가 주변 청계천을 촬영했습니다.그리고 작년까지 그 많던 고기들은 다 어디 갔나요?서울시청에서 잡았나요? 죽였나요? 어떻게 하셨나요?
주택/도시계획/부동산,저는 현재 대학을 졸업한지 2년이 넘었고 야간대학원을 재학생중입니다.취업성공패키지는 대학원 재학중이라도 야간대학원생은 신청이 가능한것으로 알고있습니다.하지만 서울시 청년수당에 경우 사이버대학은 언급이 잇지만 야간대학원에대해서는 언급이 없습니다.야간대학원생도 청년수당 신청 및 수급이 가능한가요?
주택/도시계획/부동산,오피스텔의 지나치게 높은 관리비가 의심스러울때는 어디에문의하면되나요?바로 옆 오피스텔은 평수도비슷하고 위치도바로옆에다가 심지어 더 신축인데도 월8~9만원선입니다제가사는곳은 굉장히오래되어 수도관도 낙후되어서 갈색물이 자주나오고 12평인데도월23만에서28만원입니다.아무리오피스텔관리비가비싸다고해도..이건너무비싸고 수상했던사건도있었기때문에 오랫동안 의구심만가지고있다가 문의합니다
교통,2019년 3월 OO일 OO시 OO분 경 서울시 용산구 OOO 근방OOO역 O번출구 부근에서 택시를 잡았더니목적지 듣고 죄송하다는 말 조차 없이 쌩 가버렸습니다.법인택시였고 서울 OOO 밖에 못봤으나 하도 어이가 없어서 신고해봅니다.승차거부없는 택시를 만든다고 하더니 여전한 행태에 치가 떨립니다.승차거부 신고가 쉽고 신고를 했을 때 꼭 처리해야만깨끗한 택시문화가 자리 잡을 것이라 생각합니다.번호를 제대로 못적었지만 그래도 간절한 마음에 민원 넣습니다.
교통,저 또한 양천04번 출퇴근 이용객이며그동안에도 많은 민원요청이 있었던것으로 압니다신정교 건너는 유일한 대중교통이기에이용객은 많은데그에 비해배차는 현저하기에 매우 불편을 겪고있습니다유동적으로 이용할수있는 대안으로 다람쥐버스를 제안하였는데너무 받아들여지지않는것 같습니다전반적으로 구와 구를 연결하는허브역할의 배차부분에서너무 대처가 늦는것같다는 생각이 듭니다서울시에서 이를 조금더 면밀히 봐주기를 바랍니다거리상 가깝지만 구가 다르다는 이유로대로를 앞에두고먼길 돌아가야하는 많은 시민들의 어려움을모르는체 하시지 마시길 바랍니다
교통,현재 장애인으로 선불형 장애인 교통카드를 사용하고 있습니다.그런데 오늘 아침에 망가진 휴대폰 케이스때문에 카드가 지하철 안에 떨어뜨린 채하자하고 말았습니다.그래서 얼른 T머니 카드사에 전화해서 사용정지와 잔액 환불요철을 했더니불가능이란 대답이 받았습니다.금액을 떠나서 너무나 황당했습니다.홈페이지에서 카드번호와 잔액확인까지 되는데더구나 잘못 찍혔을때는 환불까지 받았었는데...분실시에는 아무조치도 할수 없다는 답변이었습니다.너무 어이 없었습니다.평소 잘못 찍혔을때는 환불이 되면서...잔액확인이 되는 상황인데도...환불받을 방법이 전혀 없는건가요?
환경/공원/상수도,아까 낮에 보낸 재난문자 받았고 잘 알겠으니까 오늘처럼 제발 새벽에 재난문자 보내는 일 없었으면 좋겠네요 사람들 출근시간이 다 같은것도 아닌데다가 7시 이전은 이른시간인데 잘자고 있는 사람 깨우지 마세요
건강/식품위생,OO동 OO연립 1층에 살고있습니다바퀴벌레가 나와서 세스코를 애용하고 있는데 나아지는 기미가 보이지 않아서 미춰버리겠습니다하수구에서 자꾸 존나 큰 바퀴벌레가 올라옵니다.엄지손톱 만한데 설거지 할 때 파 줄기인줄 알고 더드미를 손으로 잡아버려서 아직까지 그 감촉이 남아있습니다.싱크대를 막고 별 갖갖은 일을 다 해도 잠깐 사이에 올라오기 태반이고이놈들이 열라게 커서 약으로도 미친듯이 뿌리지 않으면 죽지도 않습니다매 달 3만원 가량의 비싼 돈 주고 사설 업체에 맡기고 있는데 업체에서 방문시대마다 싱크대 구멍이며 약품을 뿌려주지만 일시적일 뿐 입니다.그럼 밖에 수도관을 소독 해주면 되지 않냐 하니 법적으로 안된다고 합니다.수도관 자꾸 바퀴벌레가 집에 올라옵니다!!!!제발 좀 근방 하수구 수도관인지 소독좀 해주세요1층이라서 더 잘올라오는건지 아주 졸라졸라 큰 바퀴벌레때문에 곤욕입니다
환경/공원/상수도,단독주택이라서 태양광을 달려고합니다.근데 알아보니 고맙게도 서울시에서 지원을 해준다고 하더군요근데 이 지원이 이상합니다.보통 개인적으로 설치하면 3KW가 380만원부터420만원인데서울시 지정업체는 보조금을 받고도 450만원입니다.이게 보조금을 주는 건가요?아님 개인적 설치하는 거랑 서울시 지정업체랑 엄청난 차이가 있는건가요똑같이 5년 무상AS에 25년 품질보증 한화나 엘지 제품인데?
환경/공원/상수도,10월 28일 (일) 하늘공원에 남편과 방문하였습니다.둘러보기전 저희가 가져간 우려먹는 커피와 텀블러를 가지고탐방객안내소에가서 뜨거운물을 받겠다고 하니 OOO. OOO 어르신들이하시는 말씀이 물은 받아서 이자리에서 바로 마셔야 되고뜨거운물을 받아서 커피는 마실수 없다 매점에서 싫어한다고 합니다.각설하고1. 물을 그자리에서 꼭 받아서 마시고 나가야 하는지?2. 뜨거운 물을 받을수 없는지?3. 커피를 마시기 위한 뜨거운 물을 받을수 없는지?4. 3을 연결하여 그리하면 매점에서 싫어하는지?5. OOO 어르신 : 텀블러에 뜨거운물 2컵 받았다고 큰소리 소리와 삿대질을받을짓인지?6. 자원봉사자 분들과 매점과의 관계가 특수관계자?인지 ?7. 자원봉사자 관리?하시는 OOO 분 말씀처럼 자원봉사자분들의행태는 어쩔수 없는지?그날 하늘공원 산책하는 내내 기분이 안좋았습니다.이해할수 있도록 답변바랍니다.
안전/소방/민방위,2016년부터 켜주기로 했는데 한번도 켜진것을 본적이 없습니다.강남쪽 강변북로는 경관조명 켜는데 왜 광진구쪽 강변북로는 설치 하고도 안켜는 겁니까?생태적인 요소때문에 경관조명 조도의 문제도 해결 한 것으로 알고 있습니다.경관조명 안켜서 생기는 전기료 절약의 이익보다 경관조명 켜서 발생되는 공익이 더 많다고 생각합니다.주말이라도 좀 켜주세요
환경/공원/상수도,10월 5일 금요일 영등포구 영등포공원 풋살장 이용을 예약했습니다.하루 전에는 조건 없이 취소가 된다는 것을 알고 있었지만지난 번 마포 유수지 체육시설도 우천시에는 당일 취소가 가능했기 때문에이번에도 비오는 걸 확인하고 당일 취소 요청했습니다.요청 결과 태풍이 아직 상륙하기 전에 내리는 비라서천재지변에 해당하지 않아 환불이 어렵다고 합니다.요즘 기상청도 일기예보를 번번히 틀리는데일개 개인이 어떻게 오늘 오후에 비가 100% 올 것을 예측해서하루 이전에 취소할 수 있는지 의문입니다.적어도 당일 우천시에는취소가 가능해야 하지않나 싶습니다.감사합니다.
기획/감사/교육/정보화/마을공동체,http://m.chosun.com/svc/article.html?sname=news&contid=201-****-****63&utm_source=undefined&utm_medium=unknown&utm_campaign=news#Redyho이 기사를 접하고 다른 지자체에도 꼭 확산시키면 좋겠다는 생각을 하게 되었습니다 불법 성매매를 근절하기 위한 공공적 연대와 감시를 촉진시킬수 있는 좋은 방안이라 생각됩니다. 성함은 알수 없지만 현수막 아이디어를 낸 성북구 공무원 분을 매우 칭찬하고 싶습니다.
문화/관광/체육/디자인,잠실구장언제 새로 만들겁니까?
교통,"1. 서울시 발전을 기원합니다.2 .요즘 택시기본요금 4천원인상이 언론에서 자주 보도되고, 금일은 한 신문에서 서울시에서는 확정된거 없고 시기도 미정이라는 기사를 보았습니다.3. 질문 2가지 드리겠습니다.가. 서울시의 시민물가 안정을 위한 부단한 노력 요청서울시에서는 최근 용산,여의도 개발 추진 계획 등으로 부동산 가격억제는 커녕부동산 투기 수요을 자극하여 서울아파트가격 폭등에 기여하여 솔직히 실망했습니다.서민들이 아파트는 꿈도 못꿀지라도 택시요금까지 부담스러우면 되겠습니까?버스 이동이 어려운 지역이나 새벽이동 시 어쩔수 없이 택시를 타게 되는데..현행 기본요금 3천원도 적지 않은 부담입니다.질문입니다.서울시는 어떠한 절차에 따라 택시기본요금 인상을 인허가 하는지 업계에서 인상해달라고 하면 어쩔수 없이 해 줄수 밖에 없는지 그 결정 과정이 궁금합니다.나. 우버,그랩등 공유서비스 인허가 문제 해결동남아에도 공유택시서비스가 보편화 되있는데 말로는 규제 없앤다고 맨날 그러면서대체 왜 공유택시 인허가는 안내주는 겁니까?국토부 소관인지 서울시 소관인지 궁금하고, 향후 이러한 미래산업규제를 계속 규제할것인지도 궁금합니다.법으로 제한 되있다면, 서울시에서만이라도 먼저 영업하게 하면 되지 않겠습니까?"
환경/공원/상수도,이걸 여기에다 쓰는건지 잘 모르겠지만은행냄새는 은행열매?가 터질때 제일심하게 나는것 같아요~ 그래서 열매가 떨어지는 시기에 은행나무 가지밑에 큰 망을 설치하면 어떨까요??작은 은행나무는 어쩔수 없지만 큰 은행나무만 설치해도 치우는사람 덜 힘들고 은행 밟지않아 좋고 떨어지는 은행 맞지않아 좋고 은행 열매 터지지않아 냄새 덜 나서 좋고 열매 다 떨어지고 은행잎 변해갈쯤에 치우고 이런식으로 하면 외국인도 우리도 냄새때문에 눈살 찡그리지않을것같아요..어제 인사동 갔는데 너무 돌길과 전통느낌은 너무 좋았지만 은행때문에 그 좋다는 생각 무마시킬수도 있겠단 생각이 들었거든요~만약 이게 시행이 된다면 전 경기도 북부 사람이니 경기도 북부(양주 동두천 포천)랑도 같이 해주시면 감사하겠습니다~~..밑에 사진처럼 열매가 망으로 들어오게 대신 사람 지나다닐수 있도록 높게 설치하고 망도 이쁜 망으로 디자인해서 해야되지 않을까 싶습니다~
교통,지능형교통체계(ITS) 기본계획 최종보고서 시민 공개 언제되나요?
세금/재정/계약,"00 00동에 가장 큰 호수가 66m2 인 다가구 한채000 00동에 모든 호가 60m2 이하 다가구 한채000 00동에 60m2 이하 아파트 한채이렇게 3채를 임대사업자 등록을 해서 운영중입니다.모두 장기 8년이상(예전 준준공) 으로 등록되어 있습니다.이경우 재산세 감면은 어떻게 되나요?임대주택 2채이상이면 감면 받는다고 알고는 있는데, 다가구는 제외라는소리가 있어서 .. 정확한 정보를 알고 싶습니다."
교통,답십리 미드카운티 아파트 둘레 불법주차 단속해주세요불법주차가 만연한데 왜 대체그냥 두시는지차량때문에 주민들이 불편을 겪고 있고아이들이 위험합니다.벌금 다른데는 잘만 때리시던데이런건 왜 벌금을 안하시나요?벌금만 내리면 거기 주차 한대도 안델텐데왜 만연하게 두시는건지거기 사람들이랑 무슨 관계 있으신가요?
안전/소방/민방위,"민원신청한 접수번호0000000000와 관련해서화재수신기 오작동으로 인하여 다음과같이 경비원에 피해를 주고있읍니다.이를보시고 철저하게 조사해서 바로잡아주세요.다 음1.당아파트의 화재수신기는 정문,중앙(4),후문초소에 비치되어있읍니다,이중중앙초소가 오작동이 자주나서 입주민과경비원이 엄청놀랍니다.참고로 페쇄된3.5경비초소에서도 동일하게 오작동이 자주일어납니다.2.경비원이 이것으로인하여 엄청고통을받고 근무합니다.2018년9월10당아파트 입주자대표회의에서 경비원8명의 의견도 안물어보고 일방 적 으로 4초소의 소리나는것을 없애기위해 당초20시간 근무를 24시간 근무하는것으로 바뀌었읍니다.3.당초 4초소는 06시30에서 24시에취침 05시에기상,6시30가지격일제로하던것을06시30분에서다음날02시까지근무 06시까지취침6시30에 퇴근,후문초소가 06시30분출근다음날01시까지근무 하던것을 4초소 근무지원을위해 익일 22시부터다음날02시까지 취침 06시까지 4초소 지원근무4. 이런이유로 후문초소는 22시부터24시 다음날05시부터06시까지 3시간을 경비초소를 비우게됩니다,(2017.12.30일까지는 초소에서24시간 근무)5.차단기오작동과 후문초소를 3시간비워,안전이 불안하닙다.이를 철저히 점검해서 바로 잡아주세요."
교통,00운수 간선 000번2018년 9월 4일 오후 9시경 no.00002018년 9월 19일 오후 6시 20분경 no.0000노들섬(03340)에서 손을 흔들었으나 그냥 지나감.시정해주세요.
안전/소방/민방위,서울시 광진구 OO로 OO길(OO동)에 있는 보안등이 불이 들어오지 않습니다.
문화/관광/체육/디자인,이명박 시장 재임시절 청계천 공사당시 발견된 오간수문을 비롯한 유적들을 폐기장에 박아놓고 방치하고 있다고 합니다. 당장 회수하여 보존 보관했으면 합니다 https://t.co/wGXMX54cn9
교통,고생많으십니다. 다름이 아니라 주택앞 마을버스 정차문제로 몇가지 여쭙고 싶습니다. 질이의 주어가 마을버스인 경우 생략하겠습니다.1. 정류소간 정해진 간격이 있습니까?2. 정류소가 주택가인경우 정류소와 주택의 이격거리는 있습니까?3. 정류소는 위도로 표시합니까 지번으로 표시합니까? 만일 지번이라면 기준은 지번을 선으로 봤을때 중심선인지 지번의 처음과 끝선전부인지.4. 정차가능위치는 정류소 10미터 전후 까지 가능한것으로 알고 있는데 이 기준은 무엇에 근거한 것인지 또 기준점은 어디가 되는지. 이를테면 버스의 중심점과 정류소인지 아니면 버스의 일부라도 10미터 안에 있으면 되는것인지.5. 서울시 교통정보 시스템상에는 버스정류소가 지번으로 표시되어 있다고 생각되는데 정류소 표지판이 없을경우 그 지번을 정류소로 판단하는 것입니까?바쁘실텐데 다소 질문이 많아 미안한 마음입니다. 고맙습니다.
건설,사당역 중앙차로는 어떤식으로 운영이 될 계획인지 궁금합니다. 이미 지옥이던 사당을 현재 중앙차로를 공사로 출퇴근시간 엄청난 교통지옥을 만드는데 과연 중앙차로로 해결이 될지보여주기식 공사가 아닌지 합니다. 출퇴근시간 사당역에서 버스를 타고내리는 사람의 수는 파악하고 계신가요? 과연 현재 사당역에서 남태령 방향 버스를 타는 사람들이 그 조그만 중앙차로에 다 내릴수나 있을지 그냥 서있을수는 있을지의문입니다.또한 공사 기간이 1차 계획보다 늘어난점도 이상합니다. 시작부터 불가능한 일정을 잡아 시작하고 늘어나는걸 당연히 하는것 문제가 있다고 봅니다. 날씨탓으로 돌리시지않기를 바랍니다.감사합니다
안전/소방/민방위,OO로OO길 40/42 두 건물 사이에가로등 하나가 있는데야간에 가로등이 켜지면계속 켜졌다 꺼졌다 합니다.전선 이어진 걸 봤더니 위험해 보입니다.조치를 취해주시기 바랍니다.
교통,"출근 때마다 우이경전철을 이용하는 사람입니다.편리하고 참 좋은데, 냉방이 약해 여름 내내 더위로 고생하고 있습니다.경전철이 작아 출퇴근 시간 매일 붐비는데, 냉방이 약해 모두 땀을 흘리며숨막혀 하고 있습니다.냉방시스템을 보완해주세요."
건강/식품위생,"안녕하세요. OO대학교 재학중인 OO입니다. 민원보다는 도움이 필요합니다. 다름이 아니라, 사람 손을 많이 탄 고양이를 발견하였습니다. 피부병이 있는 것 같아 급한 마음에 병원부터 갔고 주인을 찾지 못해 자취방으로 데리고 왔습니다. 제가 내년에 임관을 해서 야전으로 나가게 되는데 이 고양이를 계속해서 돌볼 수 없을 것 같다고 판단을 하였습니다. 아무래도 생명이기 때문에 섣부르게 판단해서 기르면 안 될 것 같다는 생각을 하였습니다. 길에 다시 방치하는 것은 더더욱 안된다고 생각하였고, 생각한 끝에 동물보호센터에 안전하게 보내는게 맞다고 생각을 하였습니다. 혹시 유기묘를 데리고 가 줄수 있는 동물보호센터가 있는지 알고 싶습니다. 꼭 도움이 필요합니다. 긴글 읽어주셔서 감사합니다"
교통,기자촌11단지앞 따릉이 이용시 출근시간에 이용이 안됩니다.이용하는 사람은 많은데 출근시간시 순환이 안되니 단 몇사람만 이용하고 맙니다.자전거 공급을 금방금방해주시면 따릉이 이용권자가 더 많이 이용할 수 있을 것 같습니다.
안전/소방/민방위,"송파구 OO대로 OO 앞 도로, 횡단보도 근처에 오늘 아침 보도블럭 공사를 하고 있던데, 기존 보도블럭은 멀쩡했는데 새로 깔고 있으면서 차선 하나를 막아 통행에 불편을 주고 있었습니다.전기나 수도 다른 공사 하고 위에 블럭을 까는걸까 긍정적인 쪽으로도 생각을 해봤는데, 그렇다면 공사 구간 주변 가드 쳐놓은 곳에 무슨 공사인지 간략한 안내메세지라도 있어야 하는것 같습니다..불필요하고 출근길 시민 불편(보행방해, 교통체증)만 초래하는 공사는 자제하여 주면 좋겠습니다."
교통,출퇴근 시간도 아니고 앞차와 간격이 얼마나 좁길래 그러는지 모르겠지만대중교통을 이용하는 사람입장에서는일부러 천천히 운행하는 버스는 너무나 불편합니다.이버스가 이렇게 천천히 움직이면 뒷차도 그래야할텐데.. 버스 승객 인원 채워야하는것도 아니고..지하철처럼 느리게 운행하게 되면 거기에 합당한 납득할만한 방송을 하던지..대중교통 이용하다가 시간약속 다 어길것같습니다.시정해주세요.
교통,"9월에 854세대 OOOO가 입주예정입니다.이제 공사 마무리 중인데, 아파트 주변으로 도로도 확장되고 정비되고있더라구요.마을주민들이 아차산휴먼시아 아파트 앞 도로부터 래미안아파트 뒤쪽을 지나 성동교회옆으로 확장되는 도로를 통해 마을버스가 다니게 된다고 하는데 다들 주변에서 들었다고 할 뿐 정확한 정보인지는 알지못하더라구요도로가 확장 정비되는것으로 봐서 마을버스가 다닐정도의 크기가 되는것 같던데실제로 마을버스가 운행되는 계획이 있는지요?있다면 몇번버스가 어떤노선으로 운행되는지, 정류장은 어디로 생기는지 알려주세요.9월이면 3천명 정도의 신규인구가 유입되는데마을버스 신설계획이나 도로정비정도는 이루어져야한다고 생각합니다.답변부탁드립니다.감사합니다."
환경/공원/상수도,"한두달 전쯤 광진구로 이사를 왔습니다.바퀴벌레가 한두마리 나와서 약을 쳤는데도계속 나와요이전에는 동대문구에 살았었고, 그때는 한마리씩 나와도 약한번치면 몇개월은 안나왔는데이건뭐 쳐도쳐도 끝이없어서 왜그러나했더니우연히 기사보고 광진구에 바퀴민원이 유난히 많다는걸 알았네요같은 서울인데도 광진구만 유난히 이러는거 보면 다른구에비해 관리를 안한다는거 아닌가요??무슨 80년대도 아니고 2018년에 벌레때문에 이게 무슨일인지 모르겠네요방역좀 해주세요"
주택/도시계획/부동산,"시장님, 우선 서울시장에 당선 되신것을 축하 드리며,당선소감에한분의 삶도 놓치지 않고 한분의 이야기도 소흘히 듣지 읺겠다고 하셨습니다.수제와 관련하여 서울시가 약속하였던 부분을 조속히 실행하시어 목동 주민의재산권 침해가 발생하지 않도록 살펴봐 주식 바랍니다. 감사합니다"
안전/소방/민방위,"공사시 복개한 후 임시 도로포장 상태로마무리 하신것 같으신데, 20여일 이상 포장 불량상태로통행차량이 상당히 불편을 겪고 있습니다.장소:녹천교사거리, 녹천역 진행 방향 1,2차로(주공 1801동 옆)도봉경찰서에서 오다가는 녹천역으로 우회전하는 지점.30km 속도에도 엄청난 충격이 전해집니다.임시 포장이라도 포장상태 불량합니다."
교통,"저는 서초역 근처 이면도로 사거리를 지나 매일 출퇴근하는 서울시민이자 서초구민입니다.OO로OO길을 통해 사랑의교회 방향으로 운행하는 차량들은 반포대로에서 사랑의교회 이면도로로 진입하는 차량들과 교행하며 항상 접촉사고의 위험을 느끼던 중 지난 3월24일 낮 제 아내가 운전하던 차량이 반포대로에서 진입후 서행하지 않고 달리던 차량과 접촉사고가 발생하여 아내차량의 범퍼가 날아가고 상대방 차량의 왼쪽 전체가 심하게 긁혀지는 대형사고가 발생하였습니다. 지난달 출근길에도 아내 차량과 똑같은 사고가 똑같은 장소에서 똑같은 이유로 발생된 것을 목격하였고 그 위치가 사고 다발지역임을 알수 있었으며, 원인을 추정해보니 네거리에 과속 방지턱이 전혀 설치되지 않은걸 확인했습니다. 반복되는 사고를 줄이기 위해서 사랑의 교회 이면도로 사거리에 과속방지턱을 조속히 설치해 주실것을 요청합니다."
